#t x x_dot energy
1.33133 0.238812 -0.977949 0.506708
1.34134 0.229023 -0.980339 0.506758
1.35135 0.21921 -0.982632 0.506809
1.36136 0.209373 -0.984826 0.50686
1.37137 0.199515 -0.986922 0.506911
1.38138 0.189636 -0.988919 0.506961
1.39139 0.179737 -0.990817 0.507012
1.4014 0.169819 -0.992617 0.507063
1.41141 0.159883 -0.994316 0.507114
1.42142 0.14993 -0.995917 0.507165
1.43143 0.139961 -0.997418 0.507216
1.44144 0.129976 -0.998819 0.507266
1.45145 0.119978 -1.00012 0.507317
1.46146 0.109967 -1.00132 0.507368
1.47147 0.0999438 -1.00242 0.507419
1.48148 0.0899096 -1.00342 0.50747
1.49149 0.0798653 -1.00432 0.507521
1.5015 0.0698121 -1.00512 0.507571
1.51151 0.0597508 -1.00582 0.507622
1.52152 0.0496825 -1.00642 0.507673
1.53153 0.0396083 -1.00692 0.507724
1.54154 0.029529 -1.00731 0.507775
1.55155 0.0194458 -1.00761 0.507826
1.56156 0.00935965 -1.0078 0.507877
1.57157 -0.000728464 -1.0079 0.507928
1.58158 -0.0108175 -1.00789 0.507978
1.59159 -0.0209065 -1.00778 0.508029
1.6016 -0.0309944 -1.00757 0.50808
1.61161 -0.0410802 -1.00726 0.508131
1.62162 -0.0511629 -1.00685 0.508182
1.63163 -0.0612415 -1.00634 0.508233
1.64164 -0.0713149 -1.00572 0.508284
1.65165 -0.0813822 -1.00501 0.508335
1.66166 -0.0914424 -1.0042 0.508386
1.67167 -0.101494 -1.00328 0.508437
1.68168 -0.111537 -1.00226 0.508488
1.69169 -0.12157 -1.00115 0.508539
1.7017 -0.131591 -0.999931 0.50859
1.71171 -0.141601 -0.998614 0.508641
1.72172 -0.151597 -0.997197 0.508691
1.73173 -0.161579 -0.995679 0.508742
1.74174 -0.171546 -0.994062 0.508793
1.75175 -0.181496 -0.992345 0.508844
1.76176 -0.19143 -0.990528 0.508895
1.77177 -0.201345 -0.988612 0.508946
1.78178 -0.211241 -0.986596 0.508997
1.79179 -0.221117 -0.984482 0.509048
1.8018 -0.230971 -0.982268 0.509099
1.81181 -0.240804 -0.979956 0.50915
1.82182 -0.250613 -0.977546 0.509201
1.83183 -0.260398 -0.975037 0.509252
1.84184 -0.270159 -0.972431 0.509303
1.85185 -0.279893 -0.969726 0.509354
1.86186 -0.2896 -0.966925 0.509406
1.87187 -0.299278 -0.964026 0.509457
1.88188 -0.308928 -0.96103 0.509508
1.89189 -0.318548 -0.957938 0.509559
1.9019 -0.328137 -0.954749 0.50961
1.91191 -0.337694 -0.951464 0.509661
1.92192 -0.347218 -0.948084 0.509712
1.93193 -0.356709 -0.944608 0.509763
1.94194 -0.366164 -0.941038 0.509814
1.95195 -0.375584 -0.937372 0.509865
1.96196 -0.384967 -0.933613 0.509916
1.97197 -0.394313 -0.929759 0.509967
1.98198 -0.40362 -0.925812 0.510018
1.99199 -0.412887 -0.921772 0.510069
2.002 -0.422114 -0.917639 0.510121
2.01201 -0.4313 -0.913413 0.510172
2.02202 -0.440443 -0.909096 0.510223
2.03203 -0.449543 -0.904687 0.510274
2.04204 -0.458599 -0.900187 0.510325
2.05205 -0.46761 -0.895597 0.510376
2.06206 -0.476575 -0.890916 0.510427
2.07207 -0.485493 -0.886146 0.510479
2.08208 -0.494363 -0.881286 0.51053
2.09209 -0.503185 -0.876337 0.510581
2.1021 -0.511957 -0.8713 0.510632
2.11211 -0.520679 -0.866176 0.510683
2.12212 -0.529349 -0.860964 0.510734
2.13213 -0.537967 -0.855665 0.510785
2.14214 -0.546532 -0.85028 0.510837
2.15215 -0.555044 -0.844809 0.510888
2.16216 -0.5635 -0.839253 0.510939
2.17217 -0.571901 -0.833612 0.51099
2.18218 -0.580246 -0.827888 0.511041
2.19219 -0.588533 -0.822079 0.511093
2.2022 -0.596762 -0.816188 0.511144
2.21221 -0.604932 -0.810214 0.511195
2.22222 -0.613042 -0.804159 0.511246
2.23223 -0.621092 -0.798023 0.511298
2.24224 -0.62908 -0.791805 0.511349
2.25225 -0.637006 -0.785508 0.5114
2.26226 -0.644869 -0.779132 0.511451
2.27227 -0.652668 -0.772677 0.511502
2.28228 -0.660403 -0.766144 0.511554
2.29229 -0.668072 -0.759533 0.511605
2.3023 -0.675675 -0.752845 0.511656
2.31231 -0.683211 -0.746082 0.511708
2.32232 -0.690679 -0.739243 0.511759
2.33233 -0.698079 -0.732329 0.51181
2.34234 -0.705409 -0.725342 0.511861
2.35235 -0.71267 -0.71828 0.511913
2.36236 -0.71986 -0.711147 0.511964
2.37237 -0.726979 -0.703941 0.512015
2.38238 -0.734025 -0.696664 0.512067
2.39239 -0.740999 -0.689316 0.512118
2.4024 -0.747899 -0.681899 0.512169
2.41241 -0.754725 -0.674412 0.51222
2.42242 -0.761475 -0.666857 0.512272
2.43243 -0.768151 -0.659235 0.512323
2.44244 -0.77475 -0.651546 0.512374
2.45245 -0.781272 -0.643791 0.512426
2.46246 -0.787716 -0.63597 0.512477
2.47247 -0.794082 -0.628085 0.512529
2.48248 -0.800369 -0.620136 0.51258
2.49249 -0.806577 -0.612125 0.512631
2.5025 -0.812704 -0.604051 0.512683
2.51251 -0.818751 -0.595916 0.512734
2.52252 -0.824716 -0.58772 0.512785
2.53253 -0.830599 -0.579464 0.512837
2.54254 -0.836399 -0.57115 0.512888
2.55255 -0.842117 -0.562778 0.512939
2.56256 -0.84775 -0.554348 0.512991
2.57257 -0.853299 -0.545862 0.513042
2.58258 -0.858763 -0.537321 0.513094
2.59259 -0.864142 -0.528724 0.513145
2.6026 -0.869434 -0.520074 0.513197
2.61261 -0.87464 -0.511371 0.513248
2.62262 -0.879759 -0.502616 0.513299
2.63263 -0.88479 -0.49381 0.513351
2.64264 -0.889733 -0.484953 0.513402
2.65265 -0.894588 -0.476047 0.513454
2.66266 -0.899353 -0.467092 0.513505
2.67267 -0.904028 -0.458089 0.513557
2.68268 -0.908614 -0.44904 0.513608
2.69269 -0.913109 -0.439945 0.51366
2.7027 -0.917513 -0.430805 0.513711
2.71271 -0.921825 -0.42162 0.513762
2.72272 -0.926045 -0.412393 0.513814
2.73273 -0.930173 -0.403123 0.513865
2.74274 -0.934209 -0.393812 0.513917
2.75275 -0.938151 -0.384461 0.513968
2.76276 -0.941999 -0.37507 0.51402
2.77277 -0.945754 -0.36564 0.514071
2.78278 -0.949414 -0.356173 0.514123
2.79279 -0.952979 -0.34667 0.514174
2.8028 -0.956449 -0.33713 0.514226
2.81281 -0.959824 -0.327556 0.514277
2.82282 -0.963103 -0.317948 0.514329
2.83283 -0.966285 -0.308308 0.514381
2.84284 -0.969372 -0.298635 0.514432
2.85285 -0.972361 -0.288932 0.514484
2.86286 -0.975253 -0.279198 0.514535
2.87287 -0.978048 -0.269436 0.514587
2.88288 -0.980745 -0.259646 0.514638
2.89289 -0.983344 -0.249829 0.51469
2.9029 -0.985845 -0.239985 0.514741
2.91291 -0.988247 -0.230117 0.514793
2.92292 -0.990551 -0.220225 0.514845
2.93293 -0.992755 -0.210309 0.514896
2.94294 -0.99486 -0.200372 0.514948
2.95295 -0.996866 -0.190413 0.514999
2.96296 -0.998772 -0.180435 0.515051
2.97297 -1.00058 -0.170437 0.515103
2.98298 -1.00228 -0.160421 0.515154
2.99299 -1.00389 -0.150388 0.515206
3.003 -1.0054 -0.140339 0.515257
3.01301 -1.0068 -0.130275 0.515309
3.02302 -1.0081 -0.120197 0.515361
3.03303 -1.00931 -0.110106 0.515412
3.04304 -1.01041 -0.100003 0.515464
3.05305 -1.01141 -0.0898886 0.515516
3.06306 -1.01231 -0.0797643 0.515567
3.07307 -1.01311 -0.0696311 0.515619
3.08308 -1.01381 -0.0594899 0.515671
3.09309 -1.0144 -0.0493417 0.515722
3.1031 -1.0149 -0.0391875 0.515774
3.11311 -1.01529 -0.0290284 0.515826
3.12312 -1.01558 -0.0188654 0.515877
3.13313 -1.01577 -0.0086994 0.515929
3.14314 -1.01585 0.00146843 0.515981
3.15315 -1.01584 0.0116371 0.516032
3.16316 -1.01572 0.0218057 0.516084
3.17317 -1.0155 0.0319731 0.516136
3.18318 -1.01518 0.0421383 0.516188
3.19319 -1.01476 0.0523003 0.516239
3.2032 -1.01424 0.0624581 0.516291
3.21321 -1.01361 0.0726106 0.516343
3.22322 -1.01289 0.0827569 0.516394
3.23323 -1.01206 0.0928959 0.516446
3.24324 -1.01113 0.103027 0.516498
3.25325 -1.0101 0.113148 0.51655
3.26326 -1.00896 0.123259 0.516601
3.27327 -1.00773 0.133359 0.516653
3.28328 -1.0064 0.143446 0.516705
3.29329 -1.00496 0.15352 0.516757
3.3033 -1.00342 0.16358 0.516809
3.31331 -1.00179 0.173624 0.51686
3.32332 -1.00005 0.183652 0.516912
3.33333 -0.99821 0.193663 0.516964
3.34334 -0.996271 0.203655 0.517016
3.35335 -0.994233 0.213627 0.517068
3.36336 -0.992094 0.22358 0.517119
3.37337 -0.989856 0.233511 0.517171
3.38338 -0.987519 0.243419 0.517223
3.39339 -0.985082 0.253304 0.517275
3.4034 -0.982546 0.263165 0.517327
3.41341 -0.979912 0.273 0.517378
3.42342 -0.977179 0.282809 0.51743
3.43343 -0.974349 0.292591 0.517482
3.44344 -0.97142 0.302344 0.517534
3.45345 -0.968393 0.312068 0.517586
3.46346 -0.965269 0.321761 0.517638
3.47347 -0.962049 0.331424 0.51769
3.48348 -0.958731 0.341054 0.517741
3.49349 -0.955317 0.350651 0.517793
3.5035 -0.951807 0.360214 0.517845
3.51351 -0.948201 0.369741 0.517897
3.52352 -0.9445 0.379233 0.517949
3.53353 -0.940704 0.388687 0.518001
3.54354 -0.936813 0.398104 0.518053
3.55355 -0.932828 0.407481 0.518105
3.56356 -0.928749 0.416819 0.518157
3.57357 -0.924577 0.426115 0.518209
3.58358 -0.920312 0.43537 0.51826
3.59359 -0.915954 0.444583 0.518312
3.6036 -0.911503 0.453752 0.518364
3.61361 -0.906961 0.462876 0.518416
3.62362 -0.902328 0.471954 0.518468
3.63363 -0.897604 0.480987 0.51852
3.64364 -0.892789 0.489972 0.518572
3.65365 -0.887884 0.498909 0.518624
3.66366 -0.88289 0.507796 0.518676
3.67367 -0.877807 0.516634 0.518728
3.68368 -0.872636 0.525421 0.51878
3.69369 -0.867376 0.534156 0.518832
3.7037 -0.862029 0.542838 0.518884
3.71371 -0.856595 0.551467 0.518936
3.72372 -0.851075 0.560042 0.518988
3.73373 -0.845469 0.568561 0.51904
3.74374 -0.839778 0.577024 0.519092
3.75375 -0.834002 0.58543 0.519144
3.76376 -0.828142 0.593779 0.519196
3.77377 -0.822198 0.602069 0.519248
3.78378 -0.816171 0.610299 0.5193
3.79379 -0.810062 0.618469 0.519352
3.8038 -0.803871 0.626577 0.519404
3.81381 -0.797599 0.634624 0.519456
3.82382 -0.791247 0.642608 0.519508
3.83383 -0.784814 0.650528 0.51956
3.84384 -0.778302 0.658384 0.519612
3.85385 -0.771712 0.666175 0.519664
3.86386 -0.765044 0.6739 0.519717
3.87387 -0.758298 0.681558 0.519769
3.88388 -0.751475 0.689149 0.519821
3.89389 -0.744577 0.696671 0.519873
3.9039 -0.737603 0.704124 0.519925
3.91391 -0.730555 0.711508 0.519977
3.92392 -0.723433 0.718821 0.520029
3.93393 -0.716237 0.726062 0.520081
3.94394 -0.70897 0.733232 0.520133
3.95395 -0.70163 0.740328 0.520185
3.96396 -0.694219 0.747352 0.520237
3.97397 -0.686738 0.754301 0.52029
3.98398 -0.679188 0.761175 0.520342
3.99399 -0.671568 0.767974 0.520394
4.004 -0.663881 0.774696 0.520446
4.01401 -0.656126 0.781342 0.520498
4.02402 -0.648305 0.78791 0.52055
4.03403 -0.640418 0.794399 0.520603
4.04404 -0.632466 0.80081 0.520655
4.05405 -0.62445 0.807141 0.520707
4.06406 -0.61637 0.813391 0.520759
4.07407 -0.608228 0.819561 0.520811
4.08408 -0.600024 0.82565 0.520863
4.09409 -0.59176 0.831656 0.520916
4.1041 -0.583435 0.837579 0.520968
4.11411 -0.575051 0.84342 0.52102
4.12412 -0.566608 0.849176 0.521072
4.13413 -0.558108 0.854848 0.521124
4.14414 -0.549551 0.860434 0.521177
4.15415 -0.540938 0.865935 0.521229
4.16416 -0.53227 0.87135 0.521281
4.17417 -0.523548 0.876678 0.521333
4.18418 -0.514772 0.881919 0.521386
4.19419 -0.505944 0.887072 0.521438
4.2042 -0.497064 0.892136 0.52149
4.21421 -0.488134 0.897112 0.521542
4.22422 -0.479154 0.901998 0.521595
4.23423 -0.470125 0.906794 0.521647
4.24424 -0.461048 0.9115 0.521699
4.25425 -0.451924 0.916115 0.521751
4.26426 -0.442753 0.920639 0.521804
4.27427 -0.433538 0.925071 0.521856
4.28428 -0.424278 0.929411 0.521908
4.29429 -0.414974 0.933658 0.52196
4.3043 -0.405629 0.937812 0.522013
4.31431 -0.396241 0.941872 0.522065
4.32432 -0.386813 0.945839 0.522117
4.33433 -0.377345 0.949711 0.52217
4.34434 -0.367838 0.953488 0.522222
4.35435 -0.358294 0.95717 0.522274
4.36436 -0.348713 0.960756 0.522327
4.37437 -0.339096 0.964247 0.522379
4.38438 -0.329443 0.967641 0.522431
4.39439 -0.319757 0.970939 0.522484
4.4044 -0.310038 0.97414 0.522536
4.41441 -0.300287 0.977243 0.522588
4.42442 -0.290505 0.980249 0.522641
4.43443 -0.280693 0.983157 0.522693
4.44444 -0.270851 0.985967 0.522746
4.45445 -0.260982 0.988678 0.522798
4.46446 -0.251085 0.991291 0.52285
4.47447 -0.241162 0.993804 0.522903
4.48448 -0.231214 0.996218 0.522955
4.49449 -0.221242 0.998532 0.523007
4.5045 -0.211247 1.00075 0.52306
4.51451 -0.201229 1.00286 0.523112
4.52452 -0.19119 1.00488 0.523165
4.53453 -0.181132 1.00679 0.523217
4.54454 -0.171054 1.0086 0.52327
4.55455 -0.160958 1.01032 0.523322
4.56456 -0.150844 1.01193 0.523374
4.57457 -0.140715 1.01344 0.523427
4.58458 -0.13057 1.01484 0.523479
4.59459 -0.120412 1.01615 0.523532
4.6046 -0.11024 1.01736 0.523584
4.61461 -0.100056 1.01846 0.523637
4.62462 -0.0898616 1.01946 0.523689
4.63463 -0.0796567 1.02036 0.523742
4.64464 -0.0694429 1.02116 0.523794
4.65465 -0.0592211 1.02185 0.523847
